resolution_id,complaint_id,agent_id,resolution_date,resolution_type,notes
173,19861,288,11/29/2023,Fixed,Refunded overcharge
174,24260,266,4/4/2025,Fixed,No resolution details provided
175,40584,225,9/5/2024,Fixed,No resolution details provided
176,15690,264,,Open,Refunded overcharge
177,39406,278,,Open,Waiting for engineering team
178,46364,223,,Open,Patched integration
179,35247,201,,Open,Investigating delay
180,12426,241,11/13/2023,Fixed,Debugging app crash
181,23489,230,5/18/2025,Fixed,Resolved export error
182,44980,234,,Open,Work in progress
183,45838,225,6/17/2025,Fixed,Processed refund
184,38702,276,,Open,Refunded overcharge
185,32526,258,12/13/2023,Fixed,No resolution details provided
186,13162,217,3/31/2024,Fixed,Optimized server
187,49887,265,9/23/2024,Fixed,No resolution details provided
188,35338,218,3/7/2024,Pending,
189,14748,201,2/28/2025,Pending,Waiting for engineering team
190,11348,269,,Open,Enabled CSV export
191,1843,221,,Open,Updated billing system
192,33635,280,8/26/2024,Fixed,Processed refund
193,42944,218,10/25/2023,Fixed,Updated billing system
194,39735,237,5/30/2024,Fixed,Updated billing system
195,3868,299,1/15/2025,Pending,Refunded overcharge
196,17075,289,,Open,Work in progress
197,5740,287,8/9/2024,Fixed,Refunded overcharge
198,21624,284,2/26/2024,Fixed,No resolution details provided
199,2681,297,9/27/2024,Fixed,No resolution details provided
200,6262,258,7/22/2025,Pending,Fixed export permissions
201,3321,236,9/17/2023,Pending,Updated billing system
202,14898,274,,Open,Work in progress
203,14579,216,,Open,Patched integration
204,2786,297,,Open,Fixed sync issue
205,17054,225,7/22/2023,Fixed,Patched dashboard
206,27517,218,12/30/2024,Pending,Updated billing system
207,12169,277,10/2/2024,Pending,
208,22500,285,3/16/2025,Fixed,No resolution details provided
209,27247,274,,Open,Investigating delay
210,37013,297,,Open,Waiting for engineering team
211,6904,236,4/20/2024,Fixed,Patched integration
212,1655,296,,Open,Restored notification delivery
213,33588,239,,Open,Fixed sync issue
214,36378,239,7/29/2023,Fixed,Enabled CSV export
215,24328,275,,Open,Work in progress
216,14610,244,10/24/2023,Pending,Debugging app crash
217,13086,215,,Open,Updated billing system
218,6730,245,,Open,Work in progress
219,6598,266,,Open,Patched dashboard
220,24488,298,4/2/2025,Fixed,No resolution details provided
221,49893,256,,Open,Processed refund
222,23388,229,6/9/2024,Fixed,No resolution details provided
223,6890,250,,Open,Patched dashboard
224,16143,240,5/27/2025,Fixed,Improved load time
225,38718,273,8/22/2024,Fixed,Updated billing system
226,4860,245,1/17/2024,Pending,Improved load time
227,43194,253,,Open,Debugging app crash
228,41176,224,1/17/2025,Fixed,No resolution details provided
229,19482,224,,Open,Work in progress
230,9616,209,12/28/2024,Fixed,Patched integration
231,11110,243,7/3/2025,Fixed,Waiting for engineering team
232,45976,278,2/7/2025,Fixed,Improved load time
233,37426,255,,Open,Updated billing system
234,42711,205,3/10/2024,Fixed,Optimized server
235,13075,259,6/21/2025,Fixed,No resolution details provided
236,5446,240,11/29/2023,Fixed,Patched dashboard
237,24786,225,1/13/2024,Fixed,No resolution details provided
238,43001,246,,Fixed,Improved load time
239,9726,223,,Open,Updated billing system
240,36224,201,,Open,Updated billing system
241,28854,296,,Open,Fixed sync issue
242,10361,226,,Open,Enabled CSV export
243,35406,297,10/23/2024,Pending,Fixed sync issue
244,41188,222,,Fixed,Fixed sync issue
245,40885,259,7/4/2025,Pending,Waiting for engineering team
246,3041,292,,Open,Fixed sync issue
247,22050,239,,Open,Optimized server
248,38778,210,9/23/2024,Fixed,Fixed notification bug
249,10810,222,2/21/2024,Fixed,Fixed notification bug
250,8922,250,,Open,Work in progress
251,7300,263,,Open,Work in progress
252,28855,251,,Open,Updated app version
253,40798,229,10/31/2023,Fixed,No resolution details provided
254,29074,265,10/15/2023,Fixed,Waiting for engineering team
255,7240,284,6/6/2025,Pending,Processed refund
256,26007,290,4/19/2024,Fixed,Refunded overcharge
257,27738,267,3/27/2025,Fixed,Waiting for engineering team
258,14641,219,2/12/2024,Fixed,Waiting for engineering team
259,33703,256,10/18/2023,Pending,
260,5717,228,,Open,Improved load time
261,23949,213,,Open,Updated billing system
262,47521,238,,Open,Fixed login issue
263,37054,254,8/13/2023,Pending,Updated billing system
264,39507,265,7/31/2024,Fixed,No resolution details provided
265,13283,210,10/5/2023,Fixed,No resolution details provided
266,2425,204,9/24/2023,Fixed,No resolution details provided
267,40671,264,8/16/2024,Fixed,Waiting for engineering team
268,19740,247,12/20/2023,Fixed,Optimized server
269,38934,279,11/27/2024,Fixed,Refunded overcharge
270,44210,273,8/21/2024,Fixed,No resolution details provided
271,33313,244,,Open,Optimized server
272,5869,232,2/5/2024,Fixed,Refunded overcharge
273,42442,280,8/12/2024,Fixed,No resolution details provided
274,27365,250,,Open,Processed refund
275,33976,283,7/12/2025,Fixed,No resolution details provided
276,36323,267,,Open,Work in progress
277,37582,251,10/3/2023,Fixed,Processed refund
278,23548,218,8/20/2023,Pending,
279,33057,298,,Fixed,Patched integration
280,32090,263,9/29/2023,Pending,Fixed notification bug
281,43234,217,,Open,Processed refund
282,3368,235,,Open,Waiting for engineering team
283,45023,265,10/24/2023,Fixed,Patched integration
284,13781,282,,Open,Work in progress
285,34842,271,12/22/2023,Pending,Refunded overcharge
286,3524,220,,Open,Waiting for engineering team
287,13456,275,12/25/2024,Fixed,Investigating delay
288,32976,203,,Open,Fixed notification bug
289,34051,220,,Open,Restored notification delivery
290,19303,297,10/18/2023,Pending,Debugging app crash
291,22157,280,2/11/2024,Pending,Updated app version
292,29144,243,,Open,Updated billing system
293,15288,248,,Open,Updated billing system
294,7136,206,9/1/2023,Pending,
295,29763,300,,Open,Work in progress
296,26939,257,,Open,Patched dashboard
297,42314,288,5/8/2025,Fixed,No resolution details provided
298,13095,247,2/10/2025,Pending,Resolved export error
299,13549,257,8/10/2024,Pending,Updated app version
300,10292,202,3/14/2025,Fixed,Processed refund
301,18645,208,9/4/2024,Fixed,Optimized server
302,11151,258,1/27/2025,Fixed,No resolution details provided
303,18214,278,12/22/2023,Fixed,Updated billing system
304,18228,240,6/23/2025,Fixed,Patched integration
305,18113,288,,Open,Enabled CSV export
306,17657,289,1/8/2025,Fixed,No resolution details provided
307,7451,245,,Open,Updated app version
308,49159,276,,Open,Updated app version
309,13083,234,4/14/2024,Fixed,Processed refund
310,40464,264,11/17/2024,Fixed,Debugging app crash
311,11987,258,8/28/2023,Fixed,Improved load time
312,35831,277,11/2/2024,Pending,Restored notification delivery
313,42700,243,12/7/2023,Fixed,Improved load time
314,42752,228,,Open,Fixed notification bug
315,1166,228,7/9/2024,Pending,
316,5378,258,,Open,Fixed sync issue
317,25488,258,2/27/2024,Fixed,Patched integration
318,27616,228,12/15/2023,Fixed,Fixed export permissions
319,10453,245,10/9/2023,Fixed,Fixed sync issue
320,46995,293,6/28/2025,Pending,Fixed notification bug
321,46632,277,,Open,Improved load time
322,37045,258,,Open,Fixed sync issue
323,32467,274,11/12/2024,Fixed,Patched dashboard
324,41724,210,,Open,Patched integration
325,2069,277,3/12/2024,Fixed,No resolution details provided
326,4786,299,8/5/2023,Fixed,Processed refund
327,46853,297,1/17/2024,Fixed,No resolution details provided
328,33143,295,,Open,Investigating delay
329,38196,216,2/4/2024,Fixed,Processed refund
330,3897,225,10/29/2024,Fixed,Waiting for engineering team
331,6303,213,12/7/2024,Fixed,Updated app version
332,4281,226,,Open,Work in progress
333,12835,258,,Open,Work in progress
334,19542,229,10/14/2023,Fixed,Refunded overcharge
335,3675,210,,Open,Processed refund
336,19877,253,4/12/2025,Fixed,Processed refund
337,8723,275,10/15/2024,Fixed,No resolution details provided
338,24934,213,5/1/2024,Fixed,No resolution details provided
339,49382,291,,Open,Work in progress
340,33470,206,3/27/2024,Pending,Fixed login issue
341,20386,248,6/3/2025,Fixed,Optimized server
342,48479,208,10/23/2023,Pending,Patched integration
343,41728,237,8/2/2023,Fixed,Patched integration
344,9137,262,,Open,Improved load time
345,48694,230,,Open,Updated billing system
346,49706,202,3/9/2024,Fixed,Patched integration
347,28903,220,6/28/2024,Fixed,Processed refund
348,37607,228,6/24/2025,Fixed,Refunded overcharge
349,1098,282,,Open,Work in progress
350,21319,201,6/18/2025,Pending,Fixed login issue
351,35180,273,,Open,Patched integration
352,24133,285,3/6/2025,Fixed,No resolution details provided
353,45361,204,,Open,Patched integration
354,22725,218,,Fixed,Refunded overcharge
355,40137,291,3/8/2025,Pending,Updated billing system
356,23124,296,,Open,Fixed sync issue
357,516,256,7/30/2023,Fixed,Patched dashboard
358,18412,285,12/11/2023,Fixed,Enabled CSV export
359,48525,279,5/26/2025,Fixed,No resolution details provided
360,49094,263,5/12/2024,Fixed,No resolution details provided
361,9542,292,6/18/2025,Fixed,No resolution details provided
362,23445,258,1/28/2025,Fixed,Refunded overcharge
363,39298,276,12/9/2023,Fixed,Patched dashboard
364,1348,202,11/3/2024,Fixed,Fixed sync issue
365,25873,206,11/14/2023,Fixed,Processed refund
366,47194,278,12/29/2023,Fixed,No resolution details provided
367,32538,212,,Open,Improved load time
368,7187,257,,Open,Improved load time
369,36026,285,,Open,Processed refund
370,28014,220,,Open,Work in progress
371,27296,269,,Open,Improved load time
372,22023,280,9/9/2023,Fixed,No resolution details provided
373,28627,222,5/1/2025,Fixed,Patched dashboard
374,7929,262,12/3/2023,Pending,Processed refund
375,11996,255,,Open,Patched dashboard
376,43364,268,7/28/2023,Fixed,Improved load time
377,27291,278,12/14/2023,Pending,Refunded overcharge
378,32794,295,2/27/2024,Fixed,Processed refund
379,9619,242,11/28/2023,Fixed,No resolution details provided
380,32954,239,7/10/2025,Pending,
381,31977,232,,Open,Refunded overcharge
382,8271,257,2/23/2025,Fixed,No resolution details provided
383,26694,258,1/14/2025,Fixed,Updated billing system
384,21676,299,2/3/2024,Fixed,Patched integration
385,8642,266,4/5/2025,Fixed,Updated app version
386,36812,204,,Open,Optimized server
387,8301,255,,Open,Refunded overcharge
388,45359,216,10/15/2023,Fixed,No resolution details provided
389,2876,219,8/19/2024,Fixed,Refunded overcharge
390,31037,292,,Open,Work in progress
391,39881,258,8/6/2023,Fixed,Updated billing system
392,34169,203,3/4/2025,Fixed,Restored notification delivery
393,41977,280,8/18/2023,Fixed,Updated billing system
394,27554,258,,Open,Work in progress
395,13935,292,,Open,Refunded overcharge
396,12318,293,,Open,Updated billing system
397,31151,235,,Open,Improved load time
398,14167,293,,Open,Work in progress
399,4483,274,2/8/2025,Fixed,Enabled CSV export
400,43531,235,9/13/2023,Pending,Refunded overcharge
401,48921,275,10/27/2024,Fixed,No resolution details provided
402,33725,250,4/7/2024,Pending,Patched dashboard
403,3491,279,3/26/2024,Pending,Refunded overcharge
404,38937,265,,Open,Refunded overcharge
405,39618,250,3/9/2024,Pending,Patched integration
406,2172,253,,Open,Restored notification delivery
407,48341,251,2/9/2025,Fixed,Processed refund
408,1805,217,,Open,Patched dashboard
409,11660,233,5/4/2024,Fixed,Updated billing system
410,16873,224,,Open,Work in progress
411,7746,291,2/14/2025,Fixed,Waiting for engineering team
412,44649,271,9/3/2024,Fixed,Optimized server
413,13191,251,3/5/2025,Fixed,No resolution details provided
414,22883,251,,Open,Optimized server
415,45566,257,,Open,Restored notification delivery
416,22785,237,,Open,Patched integration
417,6838,277,5/10/2025,Pending,Updated app version
418,45901,236,,Open,Patched dashboard
419,13642,280,,Open,Debugging app crash
420,24508,278,,Open,Work in progress
421,3265,201,4/16/2024,Fixed,Fixed sync issue
422,14497,210,5/1/2024,Fixed,Improved load time
423,17067,202,7/18/2025,Fixed,Patched integration
424,36359,229,,Open,Fixed sync issue
425,15158,242,6/2/2024,Fixed,No resolution details provided
426,19187,298,,Open,Updated app version
427,20465,264,10/12/2023,Fixed,Fixed login issue
428,22898,266,1/31/2024,Fixed,Fixed login issue
429,31417,223,11/12/2024,Fixed,No resolution details provided
430,21538,266,,Open,Work in progress
431,25492,233,10/1/2023,Fixed,Updated app version
432,17960,265,4/3/2024,Fixed,Improved load time
433,13982,261,3/4/2025,Fixed,Debugging app crash
434,30239,242,2/24/2025,Fixed,No resolution details provided
435,5986,225,2/5/2024,Fixed,Resolved export error
436,9924,225,9/27/2023,Fixed,Resolved export error
437,30434,223,1/22/2025,Fixed,Optimized server
438,26774,215,3/27/2024,Fixed,Improved load time
439,41960,214,,Open,Work in progress
440,44635,278,11/14/2024,Fixed,No resolution details provided
441,5522,216,1/21/2024,Fixed,Fixed sync issue
442,15631,250,,Open,Resolved export error
443,44170,300,4/14/2025,Fixed,No resolution details provided
444,23270,289,7/6/2024,Fixed,No resolution details provided
445,39369,267,10/9/2023,Fixed,Updated app version
446,30800,234,,Open,Patched integration
447,12050,299,,Open,Optimized server
448,22153,214,,Open,Fixed notification bug
449,11591,263,6/2/2025,Fixed,No resolution details provided
450,34221,235,7/17/2024,Fixed,No resolution details provided
451,49970,245,5/26/2025,Fixed,Patched dashboard
452,39460,300,2/17/2025,Pending,Optimized server
453,34611,229,10/3/2024,Fixed,Refunded overcharge
454,1609,238,6/28/2025,Fixed,Resolved export error
455,35458,241,,Open,Work in progress
456,46832,286,3/23/2024,Fixed,No resolution details provided
457,21387,298,5/4/2025,Fixed,Debugging app crash
458,2011,223,,Open,Patched dashboard
459,8420,280,,Pending,
460,15984,233,1/20/2025,Fixed,Updated billing system
461,36708,290,,Open,Work in progress
462,8840,209,9/24/2023,Fixed,No resolution details provided
463,1904,230,9/30/2024,Fixed,No resolution details provided
464,35516,227,,Open,Work in progress
465,6780,248,,Open,Work in progress
466,26775,290,3/14/2025,Fixed,Fixed sync issue
467,22577,221,,Open,Work in progress
468,47488,227,7/13/2025,Fixed,Updated billing system
469,28314,262,,Open,Fixed login issue
470,3948,265,9/16/2024,Fixed,Updated billing system
471,1899,233,3/13/2024,Fixed,No resolution details provided
472,6937,202,9/23/2023,Fixed,Fixed export permissions
473,15312,221,,Open,Patched dashboard
474,41327,246,,Open,Processed refund
475,28294,258,,Open,Updated billing system
476,45107,296,,Open,Patched dashboard
477,18802,287,12/9/2024,Pending,
478,37087,293,,Open,Improved load time
479,20827,264,,Open,Processed refund
480,24920,224,4/10/2024,Fixed,No resolution details provided
481,25311,290,,Open,Work in progress
482,18032,246,,Open,Debugging app crash
483,17014,234,7/19/2024,Fixed,Optimized server
484,33995,294,,Open,Work in progress
485,39548,216,12/26/2024,Fixed,Updated billing system
486,31929,271,,Open,Fixed sync issue
487,42021,211,4/28/2025,Pending,Fixed export permissions
488,12930,216,5/12/2024,Fixed,Fixed sync issue
489,21790,235,3/4/2025,Fixed,No resolution details provided
490,44909,261,2/9/2025,Fixed,Patched dashboard
491,41393,274,8/20/2023,Fixed,No resolution details provided
492,12842,214,,Open,Refunded overcharge
493,43281,226,12/3/2023,Fixed,Updated app version
494,15306,248,,Open,Refunded overcharge
495,37314,210,,Open,Fixed export permissions
496,8324,209,9/8/2024,Fixed,Waiting for engineering team
497,1440,287,12/2/2024,Fixed,Patched integration
498,24656,237,12/20/2023,Fixed,No resolution details provided
499,8103,262,7/16/2023,Fixed,No resolution details provided
500,49985,223,,Open,Work in progress
501,12963,204,7/22/2024,Fixed,Patched integration
502,35036,277,2/19/2024,Fixed,No resolution details provided
503,3818,224,7/8/2024,Fixed,Processed refund
504,29146,210,3/12/2024,Pending,Optimized server
505,46681,283,,Open,Updated billing system
506,46759,230,11/23/2023,Fixed,Fixed sync issue
507,47553,235,,Open,Work in progress
508,1907,267,,Open,Work in progress
509,24270,222,12/30/2023,Fixed,No resolution details provided
510,38894,234,,Open,Updated app version
511,27674,298,7/21/2024,Fixed,Refunded overcharge
512,12162,206,,Open,Updated app version
513,42776,234,5/1/2024,Fixed,Optimized server
514,41557,240,9/30/2024,Fixed,Patched dashboard
515,23526,249,,Open,Processed refund
516,46627,237,3/27/2024,Pending,
517,24236,286,10/5/2023,Fixed,Processed refund
518,20469,297,5/15/2025,Pending,Debugging app crash
519,48683,284,,Open,Waiting for engineering team
520,26189,296,,Open,Work in progress
521,13903,225,,Open,Processed refund
522,32896,277,3/2/2025,Fixed,No resolution details provided
523,29617,293,12/22/2024,Fixed,Refunded overcharge
524,48129,229,10/2/2023,Pending,Updated billing system
525,45947,221,,Open,Fixed login issue
526,23943,277,8/6/2024,Pending,Updated app version
527,9815,254,10/8/2023,Pending,Patched integration
528,10718,270,12/31/2024,Fixed,Fixed sync issue
529,47182,237,,Open,Processed refund
530,21521,216,,Open,Processed refund
531,18225,258,,Open,Updated biling system
532,29811,228,,Open,Waiting for engineering team
533,15826,211,1/4/2024,Pending,
534,24529,234,5/27/2025,Fixed,Enabled CSV export
535,17546,204,9/8/2024,Fixed,Updated billing system
536,3634,280,8/2/2023,Fixed,Optimized server
537,21626,293,7/26/2023,Fixed,Investigating delay
538,27021,283,7/10/2024,Fixed,No resolution details provided
539,5921,269,12/16/2024,Fixed,Improved load time
540,22341,297,,Open,Processed refund
541,36684,300,11/1/2024,Fixed,Investigating delay
542,11682,299,,Open,Work in progress
543,6372,233,3/21/2024,Fixed,Patched dashboard
544,6085,239,,Fixed,No resolution details provided
545,5899,224,,Open,Fixed sync issue
546,18654,224,1/11/2024,Fixed,Debugging app crash
547,523,277,3/10/2024,Fixed,Processed refund
548,38626,233,6/16/2025,Fixed,Updated app version
549,33108,229,6/13/2025,Fixed,Waiting for engineering team
550,34993,276,,Open,Improved load time
551,21918,201,10/5/2024,Fixed,Processed refund
552,30712,224,6/12/2025,Fixed,Refunded overcharge
553,5735,244,1/10/2024,Fixed,Processed refund
554,31051,283,,Open,Work in progress
555,30971,252,6/9/2024,Fixed,Refunded overcharge
556,46180,276,7/11/2025,Pending,Optimized server
557,49474,228,,Open,Work in progress
558,17624,254,4/21/2025,Fixed,No resolution details provided
559,35371,275,4/26/2024,Pending,Updated billing system
560,11121,230,4/3/2024,Pending,Waiting for engineering team
561,29832,265,,Open,Processed refund
562,15568,233,9/22/2024,Fixed,Patched integration
563,7313,206,4/9/2024,Fixed,Patched dashboard
564,30473,245,1/16/2024,Pending,Waiting for engineering team
565,44071,244,10/17/2024,Fixed,Fixed login issue
566,44094,290,10/16/2023,Fixed,Refunded overcharge
567,4968,292,,Open,Work in progress
568,27831,287,,Open,Updated app version
569,47810,201,2/12/2024,Fixed,Fixed sync issue
570,34419,295,,Open,Refunded overcharge
571,35352,267,,Fixed,No resolution details provided
572,23491,201,10/20/2024,Fixed,Patched dashboard
573,9389,260,10/5/2024,Fixed,No resolution details provided
574,8431,273,3/12/2025,Fixed,No resolution details provided
575,7003,213,5/16/2025,Fixed,Updated app version
576,10274,266,1/6/2025,Fixed,No resolution details provided
577,49812,233,12/31/2023,Pending,Patched integration
578,46375,222,3/17/2025,Fixed,Processed refund
579,24063,300,1/30/2025,Fixed,Processed refund
580,23306,273,1/10/2025,Fixed,Waiting for engineering team
581,28259,292,,Open,Refunded overcharge
582,44956,219,9/4/2024,Pending,
583,47416,223,11/13/2024,Fixed,Fixed login issue
584,13187,285,12/20/2024,Fixed,No resolution details provided
585,3598,233,,Open,Resolved export error
586,44201,240,12/21/2023,Fixed,No resolution details provided
587,17763,277,4/25/2025,Fixed,Updated billing system
588,28680,221,,Open,Improved load time
589,23262,211,11/23/2023,Fixed,No resolution details provided
590,25528,201,10/12/2024,Fixed,Updated app version
591,18364,222,9/9/2023,Pending,Updated app version
592,32828,210,,Open,Work in progress
593,312,251,9/14/2023,Fixed,Updated billing system
594,46976,233,12/19/2024,Fixed,Processed refund
595,35400,281,9/24/2023,Fixed,No resolution details provided
596,19514,231,10/7/2023,Pending,Processed refund
597,25272,260,8/31/2024,Fixed,Enabled CSV export
598,35599,285,9/19/2023,Fixed,No resolution details provided
599,35390,250,,Open,Refunded overcharge
600,1159,201,1/30/2025,Fixed,Processed refund
601,21692,279,11/16/2023,Pending,Processed refund
602,26269,223,,Pending,Optimized server
603,3434,228,,Open,Fixed sync issue
604,22661,264,,Open,Processed refund
